pcid,FI,Lead Origin,Country,State,City,Instance,Instance Date,Campaign,Col_11,Col_12,Col_13,Col_14,Col_15,Col_16,Col_17,Col_18,Col_19
72371,11,Online,India,Telangana,Hyderabad,Primary,16-12-2025,collegedunia/CDC/online,Moved To Application,Verified,Desktop,"MBA Global, University Of South Wales, UK",Specialization Not Available,University Not Available,16-12-2025 20:56,1,1
72371,11,Online,India,Delhi,New Delhi,Primary,16-12-2025,collegedunia/CDC/online,Moved To Application,Verified,Desktop,"MBA Global, University Of South Wales, UK",Specialization Not Available,University Not Available,16-12-2025 17:43,1,1
72371,11,Online,India,Karnataka,Bengaluru,Primary,16-12-2025,collegedunia/CDC/online,Moved To Application,Verified,Desktop,"MBA Global, University Of South Wales, UK",Specialization Not Available,University Not Available,17-12-2025 10:40,1,1
72371,11,Online,India,Delhi,New Delhi,Primary,15-12-2025,collegedunia/CDC/online,Moved To Application,Verified,Desktop,"MBA Global, University Of South Wales, UK",Specialization Not Available,University Not Available,15-12-2025 15:19,1,1
72371,11,Online,India,Mizoram,Champhai,Primary,15-12-2025,collegedunia/CDC/online,Moved To Application,Verified,Desktop,"MBA Global, University Of South Wales, UK",Specialization Not Available,University Not Available,16-12-2025 12:14,1,1
72371,11,Online,India,Bihar,Patna,Primary,13-12-2025,collegedunia/CDC/online,Moved To Application,Verified,Desktop,"MBA Global, University Of South Wales, UK",Specialization Not Available,University Not Available,11-03-2026 12:09,1,1
72371,11,Online,India,Uttar Pradesh,Akbarpur,Primary,12-12-2025,collegedunia/CDC/online,Moved To Application,Verified,Desktop,PGDM,Specialization Not Available,University Not Available,12-12-2025 16:37,1,1
72371,11,Online,India,Uttar Pradesh,Kanpur,Primary,11-12-2025,collegedunia/CDC/online,Closed,Verified,Mobile,"MBA Global, University Of South Wales, UK",Specialization Not Available,University Not Available,12-12-2025 13:38,1,1
72371,11,Online,India,Rajasthan,Jaipur,Primary,10-12-2025,collegedunia/CDC/online,Moved To Application,Verified,Desktop,"MBA Global, University Of South Wales, UK",Specialization Not Available,University Not Available,12-12-2025 13:51,1,1
72371,11,Online,India,Chandigarh,Chandigarh,Primary,10-12-2025,collegedunia/CDC/online,Moved To Application,Verified,Desktop,"MBA Global, University Of South Wales, UK",Specialization Not Available,University Not Available,13-12-2025 10:11,1,1
72371,11,Online,India,Delhi,New Delhi,Primary,10-12-2025,collegedunia/CDC/online,Moved To Application,Verified,Desktop,"MBA Global, University Of South Wales, UK",Specialization Not Available,University Not Available,19-12-2025 14:54,1,1
72371,11,Online,India,Tamil Nadu,Chennai,Primary,09-12-2025,collegedunia/CDC/online,Moved To Application,Verified,Desktop,"MBA Global, University Of South Wales, UK",Specialization Not Available,University Not Available,09-12-2025 20:30,1,1
72371,11,Online,India,Delhi,New Delhi,Primary,08-12-2025,collegedunia/CDC/online,Closed,Verified,Desktop,"MBA Global, University Of South Wales, UK",Specialization Not Available,University Not Available,08-12-2025 18:13,1,1
72371,11,Online,India,Tamil Nadu,Coimbatore,Primary,08-12-2025,collegedunia/CDC/online,Moved To Application,Verified,Desktop,"MBA Global, University Of South Wales, UK",Specialization Not Available,University Not Available,16-12-2025 22:18,1,1
72371,11,Online,India,Uttar Pradesh,Gorakhpur,Primary,06-12-2025,collegedunia/CDC/online,Moved To Application,Verified,Desktop,"MBA Global, University Of South Wales, UK",Specialization Not Available,University Not Available,11-12-2025 19:38,1,1
72371,11,Online,India,Uttar Pradesh,Lucknow,Primary,06-12-2025,collegedunia/CDC/online,Moved To Application,Verified,Desktop,PGDM,Specialization Not Available,University Not Available,06-12-2025 20:32,1,1
72371,11,Online,India,Uttar Pradesh,Lucknow,Primary,06-12-2025,collegedunia/CDC/online,Moved To Application,Verified,Desktop,PGDM,Specialization Not Available,University Not Available,06-12-2025 15:03,1,1
72371,11,Online,India,Delhi,New Delhi,Primary,05-12-2025,collegedunia/CDC/online,Moved To Application,Verified,Desktop,"MBA Global, University Of South Wales, UK",Specialization Not Available,University Not Available,05-12-2025 16:13,1,1
72371,11,Online,India,Uttar Pradesh,Ghaziabad,Primary,05-12-2025,collegedunia/CDC/online,Moved To Application,Verified,Desktop,"MBA Global, University Of South Wales, UK",Specialization Not Available,University Not Available,06-01-2026 12:36,1,1
